movie_code,movie_name_ko,movie_name_en,movie_name_og,open_dt,show_tm,genres,directors,watch_grade_nm
20195002,블랙머니,BLACK MONEY,Zealarabi,20191113,113,범죄/드라마,정지영,12세이상관람가
20185161,나를 찾아줘,Bring Me Home,,20191127,107,스릴러,김승우,15세이상관람가
20199576,러브 앳,Love at Second Sight,Mon inconnue,20191127,118,멜로/로맨스/코미디,위고 젤랭,12세이상관람가
20199428,크롤,CRAWL,,20191127,87,액션/스릴러,알렉산더 아야,15세이상관람가
20190142,굿 라이어,The Good Liar,,20191205,109,스릴러,빌 콘돈,15세이상관람가
20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,,20191107,106,범죄/액션,리건,15세이상관람가
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982",,20191023,118,드라마,김도영,12세이상관람가
20197336,허슬러,Hustlers,,20191127,109,범죄/드라마,로렌 스카파리아,청소년관람불가
20196284,윤희에게,Moonlit Winter,滿月,20191114,104,멜로/로맨스,임대형,12세이상관람가
20192083,터미네이터: 다크 페이트,Terminator: Dark Fate,,20191030,128,액션/어드벤처/SF,팀 밀러,15세이상관람가
20197721,엔젤 해즈 폴른,Angel Has Fallen,,20191113,120,액션/스릴러,릭 로먼 워,15세이상관람가
20198421,좀비랜드: 더블 탭,Zombieland: Double Tap,,20191113,98,액션/코미디/공포(호러),루벤 플레셔,15세이상관람가
20184341,얼굴없는 보스,The Faceless Boss,,20191121,114,액션/드라마,송창용,15세이상관람가
20197279,아담스 패밀리,The Addams Family,,20191107,86,애니메이션/코미디/가족,그렉 티어넌/콘래드 베논,전체관람가
20199950,조커,Joker,,20191002,122,액션/드라마/스릴러,토드 필립스,15세이상관람가
20191589,말레피센트 2,Maleficent: Mistress of Evil,,20191017,118,어드벤처/가족/판타지,요아킴 뢰닝,12세이상관람가
20193801,닥터 슬립,Doctor Sleep,,20191107,151,스릴러,마이크 플래너건,15세이상관람가
20195920,가장 보통의 연애,Crazy Romance,,20191002,109,멜로/로맨스/코미디,김한결,15세이상관람가
20192589,빅 위시,SALMAS BIG WISH,,20191030,79,판타지/애니메이션/어드벤처,,전체관람가
20196136,람보 : 라스트 워,Rambo: Last Blood,,20191023,100,액션,애드리언 그런버그,청소년관람불가
20198184,빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,,20191030,91,애니메이션/가족/코미디/어드벤처,,전체관람가
20184483,퍼펙트맨,Man of Men,,20191002,116,코미디/드라마,용수,15세이상관람가
20185361,두번할까요,"LOVE, AGAIN",,20191017,112,코미디/멜로/로맨스,박용집,15세이상관람가
20197054,빅트립: 아기팬더 배달 대모험,Big trip,,20191023,82,애니메이션,바실리 로벤스키,전체관람가
20198961,더 킹: 헨리 5세,The King,,20191023,140,드라마,데이비드 미쇼,청소년관람불가
19910247,터미네이터2 3D,Terminator II,Terminator II : Judgment Day,19910706,137,액션/SF/스릴러,제임스 카메론,중학생이상관람가
20191183,제미니 맨,Gemini Man,,20191009,116,액션/드라마/SF,이안,12세이상관람가
20194223,너를 만난 여름,My Best Summer,最好的我們,20191016,109,드라마/멜로/로맨스,장적사,12세이상관람가
20193601,장사리 : 잊혀진 영웅들,Battle of Jangsari,,20190925,103,전쟁,곽경택/김태훈,12세이상관람가
20183407,버티고,Vertigo,,20191016,114,드라마/멜로/로맨스,전계수,15세이상관람가
20196380,몬스터 하우스,GNOME ALONE,,20191003,85,애니메이션/어드벤처,피터 레페니오티스,전체관람가
20195941,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,Printsessa i drakon,20191002,72,애니메이션/판타지/어드벤처,마리나 네페도바,전체관람가
20197691,잃어버린 세계를 찾아서,Missing Link,,20191009,94,애니메이션/어드벤처,크리스 버틀러,전체관람가
20184243,판소리 복서,My Punch-Drunk Boxer,,20191009,113,코미디/드라마,정혁기,12세이상관람가
20199446,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,,20190925,161,드라마/코미디,쿠엔틴 타란티노,청소년관람불가
20194456,양자물리학,By Quantum Physics: A Nightlife Venture,,20190925,119,범죄,이성태,15세이상관람가
20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,,20190911,114,범죄/액션,손용호,15세이상관람가
20192982,애드 아스트라,AD ASTRA,,20190919,122,SF/스릴러,제임스 그레이,12세이상관람가
20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,,20190911,139,범죄/드라마,권오광,청소년관람불가
20193807,예스터데이,YESTERDAY,,20190918,116,드라마,대니 보일,12세이상관람가
20187322,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",,20190911,110,코미디/드라마,이계벽,12세이상관람가
20195968,더 룸,The Room,,20190925,99,미스터리/스릴러,크리스티앙 볼크만,15세이상관람가
20193821,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,,20190904,75,애니메이션,최신규/김진철,전체관람가
20192804,그것: 두 번째 이야기,It Chapter Two,,20190904,169,스릴러,안드레스 무시에티,15세이상관람가
20184621,엑시트,EXIT,,20190731,103,코미디/액션,이상근,12세이상관람가
20181103,벌새,House of Hummingbird,,20190829,138,드라마,김보라,15세이상관람가
20181416,유열의 음악앨범,Tune in for Love,,20190828,122,멜로/로맨스/드라마,정지우,12세이상관람가
20194045,극장판 반지의 비밀일기,,,20190911,72,애니메이션,한승우,전체관람가
20196850,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,20190814,135,액션,데이빗 레이치,12세이상관람가
20184543,변신,Metamorphosis,,20190821,112,공포(호러)/스릴러,김홍선,15세이상관람가
20193665,47미터 2,47 METERS DOWN: UNCAGED,,20190828,90,공포(호러)/스릴러,요하네스 로버츠,15세이상관람가
20184462,봉오동 전투,The Battle: Roar to Victory,,20190807,134,사극/액션/드라마,원신연/이영용,15세이상관람가
20194541,안녕 베일리,A Dog's journey,,20190905,108,가족,게일 맨쿠소,전체관람가
20185985,광대들: 풍문조작단,Jesters: The Game Changers,,20190821,108,사극,김주호,12세이상관람가
20194384,안나,ANNA,,20190828,118,액션,뤽 베송,15세이상관람가
20171021,커런트 워,The Current War,,20190822,107,드라마,알폰소 고메즈-레존,12세이상관람가
20198323,레드슈즈,Red Shoes,,20190725,92,애니메이션/코미디/판타지/어드벤처/멜로/로맨스,홍성호/홍성호,전체관람가
20182241,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,20190814,97,애니메이션,시즈노 코분,전체관람가
20183844,마이펫의 이중생활 2,The Secret Life of Pets 2,,20190731,85,애니메이션/어드벤처/코미디,크리스 리노드,전체관람가
20191604,애프터,After,,20190822,105,드라마/멜로/로맨스,제니 게이지,15세이상관람가
20188404,암전,Warning: Do Not Play,,20190815,85,미스터리/공포(호러),김진원,15세이상관람가
20180442,사자,The Divine Fury,,20190731,128,미스터리/액션/판타지/공포(호러),김주환,15세이상관람가
20187959,원더랜드,Wonder Park,,20190814,85,애니메이션/코미디/어드벤처/가족,딜런 브라운,전체관람가
20183867,알라딘,Aladdin,,20190523,127,어드벤처/가족/판타지,가이 리치,전체관람가
20193275,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,20190807,103,기타,박준수,전체관람가
20175771,라이온 킹,The Lion King,,20190717,118,어드벤처/드라마/가족,존 파브로,전체관람가
20191741,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,20190807,96,애니메이션/액션,서럽 밴 오먼,전체관람가
20190741,김복동,My Name Is KIM Bok-dong,,20190808,101,다큐멘터리,송원근,12세이상관람가
20182490,나랏말싸미,The King's Letters,,20190724,109,사극,조철현,전체관람가
